city,male,female
Mariana (MG),26581,27634
Nova Odessa (SP),25345,25894
Monte Mor (SP),24471,24476
Barra do Garças (MT),28174,28379
Barbalha (CE),26898,28411
Morada Nova (CE),31139,30915
Salgueiro (PE),27601,29017
Irati (PR),27707,28498
Cristalina (GO),23977,22602
Dom Eliseu (PA),26623,24694
Ibitinga (SP),26211,26943
Euclides da Cunha (BA),28315,27960
Bezerros (PE),28040,30604
Rio Bonito (RJ),27314,28230
Sidrolândia (MS),21512,20614
Mirassol (SP),26402,27386
São Bento do Una (PE),26562,26673
Jacundá (PA),25768,25589
Frutal (MG),27068,26391
São Miguel do Guamá (PA),26026,25534
Limoeiro do Norte (CE),27575,28678
Santo Amaro (BA),27748,30028
Floriano (PI),27306,30368
Ponte Nova (MG),27494,29894
Juruti (PA),24577,22505
Tutóia (MA),26679,26104
Jaguariúna (SP),22003,22304
São Borja (RS),30245,31412
Cachoeiras de Macacu (RJ),27061,27205
Cruz Alta (RS),29742,33073
Buíque (PE),25638,26462
Parobé (RS),25449,26051
Guarabira (PB),26692,28627
Ipirá (BA),29064,30245
Tauá (CE),27351,28353
Tefé (AM),31515,29927
Assu (RN),26138,27077
Mongaguá (SP),23096,23194
Santa Isabel (SP),25247,25203
União da Vitória (PR),25816,26916
Monte Alegre (PA),28504,26953
Içara (SC),29303,29528
Campo Alegre (AL),25025,25788
Vargem Grande (MA),24617,24787
Taquara (RS),26865,27771
Coruripe (AL),25745,26379
Taquaritinga (SP),26662,27322
Manicoré (AM),24682,22331
Alenquer (PA),27028,25591
Paudalho (PE),25203,26148
Andradina (SP),27187,28141
Humaitá (AM),23202,21023
Três Pontas (MG),26704,27151
Capivari (SP),24350,24221
Porto Ferreira (SP),25499,25895
Pirapora (MG),26144,27215
Mafra (SC),26251,26659
Trairi (CE),26434,24981
São Francisco (MG),27276,26548
Naviraí (MS),23224,23197
Registro (SP),26654,27602
Canguçu (RS),26854,26397
Artur Nogueira (SP),22075,22100
Limoeiro (PE),26820,28596
Nova Andradina (MS),22730,22848
Congonhas (MG),23834,24682
Rolim de Moura (RO),25170,25475
Acará (PA),28112,25450
Piedade (SP),26577,25560
Ibiporã (PR),23437,24758
Olímpia (SP),24685,25336
São José do Rio Pardo (SP),25544,26349
Catu (BA),24814,26245
Granja (CE),26706,25929
Eusébio (CE),22950,23076
Capão da Canoa (RS),20616,21423
Jaguaquara (BA),25036,25956
Araci (BA),25934,25707
São Francisco do Sul (SC),21181,21336
Acopiara (CE),25620,25534
Boa Viagem (CE),26334,26153
Vigia (PA),24545,23334
Canoinhas (SC),26044,26720
Capitão Poço (PA),26619,25270
Campo Belo (MG),25142,26399
Beberibe (CE),24854,24448
Vargem Grande Paulista (SP),21342,21651
Barra (BA),25160,24163
Videira (SC),23278,23909
Ribeira do Pombal (BA),23370,24139
Marechal Cândido Rondon (PR),22830,23983
Porto Feliz (SP),24534,24357
Santo Estêvão (BA),22902,24966
Inhumas (GO),23664,24571
Almas (TO),3965,3617
Tramandaí (RS),20095,21488
Itapajé (CE),23987,24356
Itupiranga (PA),27023,24191
Rondon do Pará (PA),24272,22689
Lagoa da Prata (MG),22852,23132
Paracambi (RJ),23792,23331
Itabirito (MG),22335,23110
Sapé (PB),24646,25481
Tobias Barreto (SE),23457,24572
Viana (MA),24707,24776
Marechal Deodoro (AL),22708,23261
Prudentópolis (PR),24891,23900
São Joaquim da Barra (SP),22791,23716
Campos do Jordão (SP),23391,24396
Leopoldina (MG),24545,26579
Timbaúba (PE),25902,27918
Alvorada (TO),4252,4122
Palmas (PR),21181,21702
Delmiro Gouveia (AL),23048,25041
Óbidos (PA),25561,23765
Rurópolis (PA),20873,19209
Laranjal do Jari (AP),20434,19505
Xanxerê (SC),21579,22544
Guaxupé (MG),24618,24807
Zé Doca (MA),24896,25273
Jaraguá (GO),21240,20625
Alta Floresta (MT),24989,24171
Rio Grande da Serra (SP),21802,22166
Pontal (SP),21175,19066
Brejo da Madre de Deus (PE),22176,22999
Jaru (RO),26003,25996
Bom Despacho (MG),22624,22996
Quirinópolis (GO),21930,21282
Estância Velha (RS),21034,21538
Caetité (BA),23413,24085
Cabreúva (SP),21080,20524
Monte Alto (SP),22976,23663
Louveira (SP),18801,18320
Lago da Pedra (MA),22962,23114
Tucano (BA),26246,26152
Itararé (SP),23523,24409
