city,male,female
Nova Londrina (PR),6423,6642
Aurora do Tocantins (TO),1773,1671
Monte Belo (MG),6808,6248
Milhã (CE),6528,6558
Barra do Mendes (BA),7012,6970
Sangão (SC),5322,5078
Maribondo (AL),6537,7081
Andaraí (BA),7181,6776
Carnaubeira da Penha (PE),5988,5793
Governador Dix-Sept Rosado (RN),6314,6056
Lagoa Dourada (MG),6346,5909
Chaval (CE),6194,6421
Sítio do Mato (BA),6263,5782
Nossa Senhora do Livramento (MT),6267,5338
Marilândia (ES),5572,5532
São Luís do Curu (CE),6141,6188
Turvo (SC),5850,6004
Cristais (MG),5763,5520
Governador Lindenberg (ES),5673,5192
Deodápolis (MS),6127,6011
Antônio Prado (RS),6405,6427
Mineiros do Tietê (SP),5992,6044
Nova Crixás (GO),6223,5703
Terra Nova (BA),6219,6574
Piên (PR),5759,5477
Mar de Espanha (MG),5711,6036
Turvo (PR),6977,6830
Piçarra (PA),6776,5921
Saúde (BA),5932,5906
Igrapiúna (BA),7040,6294
Aracatu (BA),7051,6689
Heliópolis (BA),6666,6525
Manoel Vitorino (BA),7334,7043
Presidente Bernardes (SP),6681,6883
Tapiratiba (SP),6330,6406
Presidente Juscelino (MA),6002,5537
Cidade Gaúcha (PR),5530,5531
Davinópolis (MA),6270,6304
Itaipé (MG),6012,5782
São José do Campestre (RN),6149,6202
Mamborê (PR),6947,7011
Mostardas (RS),6186,5937
Conceição do Castelo (ES),5938,5743
Campinorte (GO),5701,5410
Rio de Contas (BA),6231,6769
Nova Canaã do Norte (MT),6452,5674
Brejinho (RN),5798,5774
Ribeirão do Pinhal (PR),6729,6792
Patu (RN),5885,6076
Riolândia (SP),6022,4553
Porto Alegre do Norte (MT),5737,5011
Tacaimbó (PE),6255,6468
Cachoeira Alta (GO),5749,4803
Novo Lino (AL),6120,5940
Flexeiras (AL),6229,6091
Cardoso Moreira (RJ),6269,6326
Betânia (PE),6007,5994
Cambuquira (MG),6221,6379
Vera Cruz (RN),5355,5362
São Pedro da Água Branca (MA),6114,5911
Simplício Mendes (PI),6090,5987
São Gonçalo do Pará (MG),5226,5171
Areal (RJ),5660,5760
Teixeira Soares (PR),5332,4951
Palmital (PR),7513,7348
São Geraldo (MG),5218,5044
Água Doce do Maranhão (MA),6018,5563
Sete Barras (SP),6680,6322
Ibicuitinga (CE),5865,5470
Maxaranguape (RN),5349,5091
São Romão (MG),5239,5036
Santa Cruz da Baixa Verde (PE),5810,5956
Bonfim (RR),5879,5064
Ibiraçu (ES),5534,5643
Malhador (SE),6078,5957
Jataizinho (PR),5873,6001
Fortaleza dos Nogueiras (MA),5972,5672
Ubaí (MG),5979,5701
Novo Horizonte (BA),5502,5171
Porto (PI),6008,5887
Ibirá (SP),5414,5479
Iracema (RR),4600,4096
Rio Vermelho (MG),6722,6922
São Roque do Canaã (ES),5688,5584
Porecatu (PR),7036,7152
Lavínia (SP),6183,2596
Cerro Grande do Sul (RS),5355,4913
Bocaina (SP),5409,5449
Tabapuã (SP),5744,5618
Edéia (GO),5778,5485
Várzea Nova (BA),6622,6451
Canelinha (SC),5370,5230
Cortês (PE),6183,6267
Cananéia (SP),6134,6092
Tabocas do Brejo Velho (BA),5938,5490
Ubaporanga (MG),6085,5950
Salto do Jacuí (RS),5876,6001
Ilicínea (MG),5860,5628
Aral Moreira (MS),5265,4985
Ipaumirim (CE),5993,6011
Porto Walter (AC),4794,4382
Lontras (SC),5126,5118
Ataléia (MG),7311,7141
Setubinha (MG),5350,5535
Nova Ubiratã (MT),5132,4086
Itiruçu (BA),6236,6446
Cruzeiro do Sul (RS),6156,6163
Brejetuba (ES),6211,5703
Bom Retiro do Sul (RS),5655,5817
Eldorado (MS),5783,5910
Axixá do Tocantins (TO),4599,4674
Planura (MG),5451,4933
Duartina (SP),5970,6280
Chavantes (SP),6028,6086
Guaiçara (SP),5367,5302
Paulista (PB),5829,5959
Jardim do Seridó (RN),5885,6227
Cardoso (SP),5830,5974
Mato Verde (MG),6260,6422
Matina (BA),5674,5469
Poranga (CE),5973,6026
Licínio de Almeida (BA),6275,6030
Rio Paranaíba (MG),6089,5793
Cláudia (MT),5728,5300
Jerônimo Monteiro (ES),5292,5586
Santa Fé (PR),5118,5313
Alto Garças (MT),5437,4912
Jacinto (MG),6284,5842
Correia Pinto (SC),7376,7408
Taipu (RN),6112,5723
Pacoti (CE),5850,5757
Pedras de Maria da Cruz (MG),5293,5021
Santa Luzia (BA),7051,6293
Cacequi (RS),6836,6840
Dom Basílio (BA),5867,5483
Capixaba (AC),4655,4143
Paramoti (CE),5814,5490
Loreto (MA),5870,5519
Atílio Vivácqua (ES),4999,4851
Ventania (PR),5144,4813
Iguaracy (PE),5912,5864
Itanhomi (MG),5797,6056
Querência do Norte (PR),5935,5791
Canápolis (MG),5984,5381
Jequeri (MG),6476,6370
Araçás (BA),5825,5733
Ponto dos Volantes (MG),5796,5547
Axixá (MA),5821,5583
São Francisco do Maranhão (MA),6152,5994
Serra do Mel (RN),5392,4895
Itapejara d'Oeste (PR),5261,5269
Ferreiros (PE),5641,5786
Congonhal (MG),5404,5063
Santo Amaro das Brotas (SE),5609,5795
Icaraí de Minas (MG),5566,5176
Carmo da Cachoeira (MG),5976,5859
Andrelândia (MG),6066,6107
Capela de Santana (RS),5848,5764
Porto Esperidião (MT),5899,5130
Colares (PA),5878,5500
Santa Leopoldina (ES),6425,5815
Belém de Maria (PE),5635,5716
Saubara (BA),5481,5718
Pimenteiras (PI),5998,5734
Itagi (BA),6584,6457
São Sebastião da Grama (SP),6166,5933
Bonito de Santa Fé (PB),5347,5453
Wanderley (BA),6494,5987
Salgado de São Félix (PB),5833,6135
Lebon Régis (SC),6079,5757
Pinheiro Machado (RS),6381,6398
Joaquim Távora (PR),5320,5415
Bofete (SP),4906,4712
Godofredo Viana (MA),5565,5067
Sales Oliveira (SP),5241,5327
São Francisco do Brejão (MA),5268,4993
Mortugaba (BA),6226,6247
Boa Nova (BA),7821,7582
Pilar (PB),5498,5691
Aperibé (RJ),5023,5189
Três Barras do Paraná (PR),5994,5829
Mondaí (SC),5422,4809
Presidente Jânio Quadros (BA),6975,6670
Babaçulândia (TO),5539,4883
Inhangapi (PA),5169,4867
Iacanga (SP),5163,4847
Bandeirantes do Tocantins (TO),1690,1430
Perdigão (MG),4554,4357
Campo Alegre (SC),5970,5778
Cedro (PE),5390,5387
Terra Alta (PA),5271,4989
Guaraniaçu (PR),7260,7318
Guimarães (MA),6137,5934
Moreira Sales (PR),6313,6289
Abaiara (CE),5210,5285
Antônio Gonçalves (BA),5573,5439
Lima Campos (MA),5615,5806
Rio dos Cedros (SC),5267,5015
Amaturá (AM),4902,4564
São Félix do Araguaia (MT),5562,5063
Santa Terezinha (PE),5385,5605
Benedito Novo (SC),5280,5056
Imaculada (PB),5707,5644
Vale do Sol (RS),5597,5480
Céu Azul (PR),5413,5617
Caetanópolis (MG),5115,5103
Conceição dos Ouros (MG),5311,5076
Seringueiras (RO),6087,5542
Alcântaras (CE),5314,5456
Brasilândia (MS),6044,5780
Berilo (MG),6283,6015
Gouveia (MG),5661,6014
Santana do Matos (RN),6869,6939
Tacuru (MS),5274,4941
São Sebastião de Lagoa de Roça (PB),5423,5618
São João do Manhuaçu (MG),5213,5031
Barra do Ouro (TO),2195,1928
Redentora (RS),5209,5008
Normandia (RR),4677,4261
Aratuba (CE),5823,5706
Chupinguaia (RO),4414,3886
Baixa Grande do Ribeiro (PI),5468,5048
Serra do Salitre (MG),5422,5127
Presidente Kennedy (ES),5256,5052
São Miguel das Matas (BA),5273,5135
Vera (MT),5303,4931
Angicos (RN),5654,5891
Fronteiras (PI),5478,5636
Paranacity (PR),5115,5134
Olivença (AL),5561,5485
Teixeiras (MG),5543,5811
Ponte Serrada (SC),5533,5494
Rio do Pires (BA),5926,5987
Antônio Cardoso (BA),5731,5819
Gravatal (SC),5286,5349
Campo do Meio (MG),5829,5646
Rodeio (SC),5487,5435
Barrolândia (TO),2758,2591
Barro Alto (GO),4507,4206
Itabirinha (MG),5321,5367
Jaqueira (PE),5705,5795
Rio Novo do Sul (ES),5737,5587
Cachoeira de Minas (MG),5767,5267
Paranatama (PE),5518,5482
Gararu (SE),5810,5593
Alvorada do Sul (PR),5205,5078
Ipaporanga (CE),5656,5684
Capela do Alto Alegre (BA),5806,5714
Itaipulândia (PR),4549,4477
Alto Paraguai (MT),5413,4650
Lençóis (BA),5210,5156
Sebastião Laranjeiras (BA),5254,5114
Jaguaribara (CE),5276,5121
Resende Costa (MG),5372,5540
Nhandeara (SP),5281,5443
Nonoai (RS),5931,6141
Ouro Branco (AL),5437,5474
Itainópolis (PI),5543,5564
Santo Antônio do Jacinto (MG),6027,5746
Duas Barras (RJ),5511,5416
Roca Sales (RS),5090,5194
Ilha Comprida (SP),4475,4550
Dois Irmãos do Buriti (MS),5531,4831
Carmo da Mata (MG),5451,5471
Vale do Anari (RO),4979,4404
Jucati (PE),5270,5331
Balneário Gaivota (SC),4092,4142
Lagoa Grande do Maranhão (MA),5544,4973
Pirangi (SP),5393,5230
Santa Mariana (PR),6167,6263
Aramari (BA),4996,5034
Nova Europa (SP),4649,4651
Pedro de Toledo (SP),5156,5047
Estiva Gerbi (SP),5074,4970
Bonito de Minas (MG),4995,4677
Bernardo Sayão (TO),2325,2131
Jequiá da Praia (AL),6128,5901
Calçoene (AP),4821,4179
Getulina (SP),5861,4900
Muquém do São Francisco (BA),5449,4822
Capitão de Campos (PI),5438,5515
Antônio Carlos (MG),5529,5584
Nova Laranjeiras (PR),5688,5547
Curimatá (PI),5451,5306
São Carlos (SC),5170,5119
Igarapé Grande (MA),5426,5612
Duque Bacelar (MA),5383,5266
Estiva (MG),5609,5236
Porto Firme (MG),5303,5111
Alto Taquari (MT),4277,3794
Lajes (RN),5164,5217
Martinópole (CE),5099,5114
Pérola (PR),5004,5204
Divisópolis (MG),4658,4311
Eugenópolis (MG),5317,5220
Guaraci (SP),5084,4891
Anguera (BA),5083,5157
Batayporã (MS),5419,5517
Campo Redondo (RN),5103,5160
Avelino Lopes (PI),5581,5486
Moita Bonita (SE),5462,5537
Matias Cardoso (MG),5096,4880
Itatiaiuçu (MG),5043,4885
Irineópolis (SC),5346,5102
Bela Vista do Maranhão (MA),6107,5938
Palmares do Sul (RS),5462,5507
Presidente Vargas (MA),5459,5254
Terra de Areia (RS),4959,4918
Macajuba (BA),5518,5706
Urubici (SC),5395,5300
Poção (PE),5375,5865
Senador José Porfírio (PA),6995,6050
Angelim (PE),5017,5183
Paranaíta (MT),5741,4943
Barbosa Ferraz (PR),6347,6303
Senador Alexandre Costa (MA),5122,5133
Gentio do Ouro (BA),5448,5170
Bom Jesus do Tocantins (TO),1989,1779
Lagoa do Mato (MA),5609,5325
São Domingos (SE),5091,5178
Balneário Barra do Sul (SC),4172,4258
Bom Jesus (RS),5703,5814
Moreilândia (PE),5591,5539
Engenheiro Caldas (MG),4960,5320
Cajapió (MA),5364,5226
Alto Parnaíba (MA),5467,5297
Uraí (PR),5681,5791
Corumbá de Goiás (GO),5415,4946
Chorrochó (BA),5442,5286
Groaíras (CE),5045,5182
Goianápolis (GO),5452,5242
Salgadinho (PE),4675,4628
Varre-Sai (RJ),4756,4718
São João do Paraíso (MA),5777,5037
Quebrangulo (AL),5669,5808
Areiópolis (SP),5453,5125
Cerro Corá (RN),5459,5457
Fagundes (PB),5605,5795
Três Cachoeiras (RS),5156,5061
Bernardino de Campos (SP),5250,5524
Barros Cassal (RS),5726,5402
Montanhas (RN),5664,5747
Potengi (CE),4986,5289
Agrolândia (SC),4699,4623
Rosário do Catete (SE),4438,4780
Cunha Porã (SC),5256,5354
Igaratinga (MG),4773,4491
Primeiro de Maio (PR),5399,5429
Juscimeira (MT),5960,5469
Inácio Martins (PR),5604,5337
São Gonçalo do Rio Abaixo (MG),4871,4904
São Pedro do Ivaí (PR),5114,5051
Acari (RN),5364,5670
Catanduvas (SC),4762,4792
Fervedouro (MG),5329,5020
Maraial (PE),6168,6059
Pedralva (MG),5858,5608
São Jerônimo da Serra (PR),5846,5490
Iapu (MG),5132,5181
Urupá (RO),6730,6243
Angélica (MS),4696,4488
Aurelino Leal (BA),6828,6759
Itatuba (PB),5047,5149
Jardim Alegre (PR),6269,6053
Dois Riachos (AL),5454,5424
Mulungu (CE),5840,5642
Pires Ferreira (CE),5138,5077
São Tomé (RN),5435,5391
Bananal (SP),5051,5170
Iuiu (BA),5644,5254
Itaueira (PI),5385,5293
Divinolândia (SP),5587,5621
Afonso Bezerra (RN),5451,5391
Tacima (PB),5162,5096
Uiramutã (RR),4339,4034
Caracol (PI),5202,5008
Delta (MG),4538,3551
Mauá da Serra (PR),4361,4194
Arceburgo (MG),4913,4595
Manaíra (PB),5399,5359
Paraúna (GO),5520,5340
Ararendá (CE),5179,5309
Calçado (PE),5566,5558
Bueno Brandão (MG),5659,5232
Matias Olímpio (PI),5266,5206
São Tiago (MG),5300,5261
Carnaubais (RN),4895,4866
Rio do Fogo (RN),5134,4924
Rialma (GO),5238,5284
Apiúna (SC),4866,4734
Capinzal do Norte (MA),5344,5353
Parapuã (SP),5535,5309
Governador Archer (MA),5066,5139
Prudente de Morais (MG),4735,4837
Tenente Ananias (RN),4977,4904
Cacimbinhas (AL),5048,5146
São Vicente do Seridó (PB),5261,4969
Laranja da Terra (ES),5524,5302
São Bento do Sapucaí (SP),5271,5197
Arataca (BA),5501,4890
Lago do Junco (MA),5413,5314
Primavera (PA),5297,4967
Roseira (SP),4842,4757
Jordânia (MG),5330,4989
Santa Maria de Itabira (MG),5236,5313
General Salgado (SP),5351,5316
Parnaguá (PI),5459,4816
Vargem (SP),4519,4281
Milagres (BA),5000,5294
Juripiranga (PB),5129,5105
Rincão (SP),5243,5170
Itapuã do Oeste (RO),4565,4001
Miradouro (MG),5232,5017
Vera Cruz (SP),5298,5469
Água Doce do Norte (ES),5959,5809
Novo Oriente de Minas (MG),5296,5042
Chapadão do Céu (GO),3664,3337
Juruaia (MG),4703,4535
Pirapetinga (MG),5105,5255
Mercês (MG),5156,5211
Sete Quedas (MS),5481,5298
Jandaíra (BA),5308,5020
Piraúba (MG),5439,5422
Alto Rio Doce (MG),6102,6057
Ouroeste (SP),4190,4214
Cedral (MA),5395,4901
Missal (PR),5269,5205
Brotas de Macaúbas (BA),5472,5243
Centenário do Sul (PR),5562,5628
Gilbués (PI),5213,5189
São Luiz do Paraitinga (SP),5317,5079
Mirante da Serra (RO),6048,5828
Jaguari (RS),5737,5734
Aragoiânia (GO),4265,4098
Seberi (RS),5347,5547
Brejolândia (BA),5797,5279
Cabeceiras do Piauí (PI),5094,4833
Brasilândia do Tocantins (TO),1057,1007
Trajano de Moraes (RJ),5258,5031
Cajobi (SP),5025,4742
Serra Caiada (RN),4471,4296
Santana do Mundaú (AL),5489,5469
Ronda Alta (RS),5008,5212
Sucupira do Norte (MA),5337,5104
Faxinal dos Guedes (SC),5357,5303
Ribeirão Claro (PR),5272,5406
Monte Alegre do Piauí (PI),5285,5059
Nova Floresta (PB),5121,5410
Caroebe (RR),4309,3805
Coité do Nóia (AL),5421,5499
Pirpirituba (PB),5113,5210
Santa Inês (BA),5131,5224
Irani (SC),4850,4681
Bujari (AC),4569,3902
Tapera (RS),5092,5353
Monsenhor Gil (PI),5105,5227
Fernando Falcão (MA),4837,4401
Pariconha (AL),5113,5149
São José do Jacuípe (BA),5092,5083
Grossos (RN),4762,4629
Nova Prata do Iguaçu (PR),5224,5152
São José do Calçado (ES),5195,5211
Bom Repouso (MG),5444,5013
Floresta Azul (BA),5433,5219
Rio Acima (MG),4469,4621
Recreio (MG),5000,5297
Santa Teresinha (BA),4819,4824
Érico Cardoso (BA),5422,5433
Brejinho de Nazaré (TO),2599,2586
Buriti do Tocantins (TO),4939,4829
Santa Cruz do Arari (PA),4141,4012
Guadalupe (PI),5088,5176
Sarapuí (SP),4594,4433
Umarizal (RN),5227,5430
Arroio do Sal (RS),3833,3907
Beneditinos (PI),5014,4897
Senhora dos Remédios (MG),5152,5043
Jitaúna (BA),7121,6989
Mulungu do Morro (BA),6175,6073
Jatobá (MA),4303,4222
Cristino Castro (PI),5036,4945
Espírito Santo (RN),5317,5143
Virginópolis (MG),5215,5356
Ribeirão Cascalheira (MT),4607,4273
Natuba (PB),5211,5347
São Miguel do Gostoso (RN),4474,4196
Itarana (ES),5455,5425
Apiacás (MT),4663,3904
Cachoeirinha (TO),1137,1011
Branquinha (AL),5378,5203
Arvorezinha (RS),5133,5091
Catunda (CE),5033,4918
Santa Maria Madalena (RJ),5274,5046
Água Branca (PB),4719,4730
Dona Inês (PB),5277,5238
Cachoeira dos Índios (PB),4820,4723
Florestópolis (PR),5687,5533
Marcionílio Souza (BA),5296,5194
Ninheira (MG),5053,4758
Riachuelo (SE),4554,4799
Pintadas (BA),5196,5141
Conceição da Aparecida (MG),5008,4812
Theobroma (RO),5653,4996
Dário Meira (BA),6723,6107
Barracão (PR),4794,4940
Serrano do Maranhão (MA),5850,5086
Centralina (MG),5250,5014
Buenópolis (MG),5165,5124
Aruanã (GO),3921,3575
Jacinto Machado (SC),5262,5347
Urucânia (MG),5085,5206
Mariluz (PR),5112,5110
Bom Jesus (RN),4708,4730
Terra Nova (PE),4723,4553
Francisco Badaró (MG),5279,4968
Guaraciaba (MG),5173,5047
Carmo do Rio Verde (GO),4546,4379
Maiquinique (BA),4541,4233
Dores de Campos (MG),4614,4684
Itapitanga (BA),5176,5024
Bela Vista de Minas (MG),4819,5181
Rubim (MG),5061,4855
Piripá (BA),6437,6340
Petrolina de Goiás (GO),5363,4914
Paranaiguara (GO),4587,4512
Cristina (MG),5223,4986
Porangaba (SP),4276,4050
Nova Veneza (GO),4128,4001
Uchoa (SP),4707,4763
Fontoura Xavier (RS),5460,5257
Luís Gomes (RN),4723,4886
Dumont (SP),4096,4047
Itapebi (BA),5258,5233
Piranhas (GO),5718,5546
Ipuiúna (MG),4937,4583
Bom Retiro (SC),4513,4428
Sinimbu (RS),5217,4849
Catanduvas (PR),5192,5009
Porto Xavier (RS),5300,5257
Alfredo Wagner (SC),4783,4625
Nova Aurora (PR),5827,6036
Itamogi (MG),5306,5043
São João (PR),5238,5357
Governador Newton Bello (MA),6014,5906
Bonfinópolis (GO),3777,3758
Marcelândia (MT),6368,5638
Carneirinho (MG),4867,4602
Torrinha (SP),4707,4622
Carlinda (MT),5817,5173
Nova Bassano (RS),4480,4360
Sigefredo Pacheco (PI),4970,4646
Santa Tereza do Oeste (PR),5247,5084
Botuporã (BA),5606,5545
Piraí do Norte (BA),5194,4604
Reginópolis (SP),4680,2642
Iretama (PR),5433,5188
Corumbaíba (GO),4282,3895
Anísio de Abreu (PI),4642,4454
Bom Jesus do Norte (ES),4583,4889
Itapeva (MG),4498,4165
Manduri (SP),4519,4471
Guaraciaba (SC),5300,5197
Mulungu (PB),4630,4837
Nova Campina (SP),4345,4170
Planalto (RS),5207,5311
Ipupiara (BA),4741,4542
Monte Carlo (SC),4739,4571
Rinópolis (SP),5050,4882
Glória de Dourados (MS),4894,5033
Santo Antônio das Missões (RS),5579,5628
Umbuzeiro (PB),4508,4788
Constantina (RS),4775,4975
Coronel Freitas (SC),5189,5023
Coroaci (MG),5225,5043
São João do Ivaí (PR),5678,5842
Capim Branco (MG),4414,4466
São Sebastião do Maranhão (MG),5371,5275
Saudades (SC),4618,4397
Ipiranga do Piauí (PI),4594,4731
Ariranha (SP),4366,4181
Arauá (SE),5487,5390
Juru (PB),4897,4928
Pureza (RN),4277,4147
Campos Lindos (TO),4264,3875
Formoso (MG),4283,3892
Iaras (SP),4194,2180
Quilombo (SC),5168,5079
Florânia (RN),4492,4466
Bom Jesus da Serra (BA),5191,4921
Lontra (MG),4369,4023
Imaruí (SC),5864,5805
Guia Lopes da Laguna (MS),5208,5155
Cavalcante (GO),4915,4477
Pedrinhas (SE),4355,4475
Alto Piquiri (PR),5129,5050
Frei Inocêncio (MG),4355,4563
Candiota (RS),4481,4289
Manoel Urbano (AC),4255,3726
Deputado Irapuan Pinheiro (CE),4559,4533
Canápolis (BA),4806,4602
Campo Grande (RN),4708,4581
Lagoa Grande (MG),4548,4082
Rondon (PR),4564,4432
Herculândia (SP),4350,4345
Igaratá (SP),4522,4308
Denise (MT),4393,4130
Águia Branca (ES),4901,4617
Sairé (PE),5534,5706
Paula Cândido (MG),4693,4578
Campo Grande (AL),4434,4595
Ferros (MG),5395,5442
Dom Inocêncio (PI),4732,4511
Japurá (PR),4324,4225
Verdejante (PE),4484,4656
Carneiros (AL),4058,4232
Agudos do Sul (PR),4306,3964
Pau Brasil (BA),5495,5355
Rodelas (BA),3834,3939
Novo Mundo (MT),3915,3416
Verdelândia (MG),4273,4070
Cachoeira Grande (MA),4402,4039
Araújos (MG),4009,3873
Buriti Alegre (GO),4533,4518
Olho d'Água do Casado (AL),4278,4212
Terra Roxa (SP),4306,4198
Cumaru (PE),8507,8669
Ilha Grande (PI),4557,4357
Triunfo (PB),4569,4649
Riacho dos Machados (MG),4754,4604
Cachoeira de Pajeú (MG),4510,4447
Ministro Andreazza (RO),5304,5047
Palhano (CE),4470,4393
Cedral (SP),3977,3995
Roncador (PR),5820,5714
Pirambu (SE),4213,4154
Cariri do Tocantins (TO),2106,1649
Sítio do Quinto (BA),6280,6309
Francisco Santos (PI),4383,4209
Carbonita (MG),4682,4465
São Domingos (SC),4780,4711
São Sebastião do Alto (RJ),4466,4427
Planaltino (BA),4573,4247
Rio das Flores (RJ),4211,4347
Arenápolis (MT),5191,5122
Salto Grande (SP),4353,4432
Cardeal da Silva (BA),4501,4393
Nova Monte Verde (MT),4388,3705
Nazário (GO),3963,3911
Baía Formosa (RN),4332,4238
Japorã (MS),3908,3823
Tabaporã (MT),5308,4624
Wagner (BA),4498,4485
Jaçanã (RN),3934,3989
Caputira (MG),4640,4390
Itapiranga (AM),4298,3910
Caturama (BA),4542,4298
Silves (AM),4498,3944
Terra Nova do Norte (MT),5883,5407
Vila Pavão (ES),4491,4178
Euclides da Cunha Paulista (SP),4832,4750
Mambaí (GO),3529,3341
Açucena (MG),5226,5047
Tunas do Paraná (PR),3271,2985
Passo de Torres (SC),3352,3275
Amapá (AP),4210,3857
Murici dos Portelas (PI),4422,4039
Carmolândia (TO),1205,1110
Várzea do Poço (BA),4355,4305
Mara Rosa (GO),5426,5223
Antônio Dias (MG),4829,4736
Chapada (RS),4593,4784
Santa Maria do Oeste (PR),5913,5587
Coronel Murta (MG),4657,4455
Bálsamo (SP),3998,4162
Penaforte (CE),4044,4182
Baía da Traição (PB),4040,3969
Palmeira d'Oeste (SP),4805,4777
Vista Alegre do Alto (SP),3544,3342
Abadia de Goiás (GO),3371,3505
Prados (MG),4212,4178
Nova Redenção (BA),4067,3964
Rafard (SP),4257,4355
Urânia (SP),4395,4441
Palmeiras (BA),4173,4231
Anaurilândia (MS),4312,4179
Santa Rita do Araguaia (GO),3545,3379
Coqueiral (MG),4632,4657
Iporã do Oeste (SC),4258,4151
Dobrada (SP),4116,3823
São Domingos (BA),4590,4633
Antônio João (MS),4108,4100
Casca (RS),4242,4408
Montes Altos (MA),4902,4509
Nova Maringá (MT),3599,2991
Siriri (SE),3989,4014
Queimada Nova (PI),4279,4273
São Jorge d'Oeste (PR),4546,4538
Vicentinópolis (GO),3873,3498
Pantano Grande (RS),4908,4986
São José da Bela Vista (SP),4312,4094
Douradina (PR),3770,3672
Santanópolis (BA),4245,4528
Brejão (PE),4333,4507
Paulo de Faria (SP),4299,4287
Itauçu (GO),4235,4339
Carrasco Bonito (TO),1918,1769
Rio Novo (MG),4373,4338
Morada Nova de Minas (MG),4205,4050
Quixabeira (BA),4876,4675
Guarani (MG),4422,4253
Neves Paulista (SP),4363,4407
Caém (BA),5140,5226
Bom Jardim de Goiás (GO),4303,4118
Cordisburgo (MG),4435,4232
Santa Rita de Caldas (MG),4603,4424
Congonhinhas (PR),4237,4041
Clementina (SP),3661,3404
Caseara (TO),2383,2217
Santa Lúcia (SP),4129,4118
Dourado (SP),4364,4245
Guamiranga (PR),4008,3891
Pereiras (SP),3786,3666
São Sebastião da Amoreira (PR),4255,4370
Jucuruçu (BA),5399,4888
Maravilha (AL),5197,5086
Ibiassucê (BA),5096,4963
Aratuípe (BA),4376,4221
Armazém (SC),3924,3829
Brejo de Areia (MA),2867,2710
Lago dos Rodrigues (MA),3866,3928
Moraújo (CE),4070,4000
Piedade de Caratinga (MG),3648,3461
Ibitirama (ES),4649,4308
Nossa Senhora Aparecida (SE),4256,4250
Redenção do Gurguéia (PI),4222,4177
Coluna (MG),4480,4544
Central do Maranhão (MA),4087,3798
Cristais Paulista (SP),3874,3714
Cezarina (GO),3870,3673
Marilândia do Sul (PR),4500,4362
Martins (RN),4042,4175
Castanheira (MT),4344,3885
Monsenhor Paulo (MG),4179,3981
Santa Terezinha (SC),4700,4067
Monte Alegre de Goiás (GO),3993,3736
Nossa Senhora dos Remédios (PI),4077,4129
Alvorada do Norte (GO),4108,3975
Marcação (PB),3894,3715
São Vicente do Sul (RS),4206,4232
Ibirapuã (BA),4096,3857
Serranópolis (GO),3969,3511
São Domingos do Norte (ES),4164,3836
Varzedo (BA),4534,4570
Mucugê (BA),5226,5311
Serra dos Aimorés (MG),4171,4233
Santa Cruz de Minas (MG),3854,4011
Pimenta (MG),4242,3993
Antônio Carlos (SC),3757,3701
Nazareno (MG),4118,3836
Mata Verde (MG),4138,3732
Capitólio (MG),4168,4015
Piranguinho (MG),4066,3949
Abaíra (BA),4082,4231
Ouro Verde (SP),3865,3931
Cordeiros (BA),4048,4116
Arealva (SP),3997,3844
Santana do Manhuaçu (MG),4393,4186
Caraíbas (BA),5215,5003
Virgínia (MG),4308,4313
Tangará (SC),4470,4204
Tasso Fragoso (MA),3973,3823
Mataraca (PB),3690,3717
Califórnia (PR),4051,4016
Martins Soares (MG),3655,3517
Nazária (PI),4083,3981
Catuípe (RS),4590,4732
Jordão (AC),3411,3164
Lagoa Alegre (PI),4123,3884
Magalhães Barata (PA),4258,3857
Angelândia (MG),3950,4052
Camutanga (PE),4086,4069
Lagedo do Tabocal (BA),4186,4115
Marcolândia (PI),3867,3945
Comendador Levy Gasparian (RJ),4076,4102
Isaías Coelho (PI),4120,4101
Ouriçangas (BA),4216,4080
Jóia (RS),4306,4025
Centenário (TO),1375,1190
Tarrafas (CE),4451,4458
Riacho dos Cavalos (PB),4242,4072
Santa Terezinha (MT),3937,3457
Santo Antônio do Aracanguá (SP),3879,3747
Paverama (RS),4050,3993
Pratápolis (MG),4455,4350
São Gonçalo do Abaeté (MG),3241,3022
Ilha das Flores (SE),4166,4178
Feira Nova do Maranhão (MA),4265,3860
Milagres do Maranhão (MA),4196,3920
Tuneiras do Oeste (PR),4441,4253
Saltinho (SP),3519,3540
Boa Vista do Gurupi (MA),4041,3908
São João da Baliza (RR),3550,3218
Santa Isabel do Ivaí (PR),4387,4369
Aparecida (PB),3794,3880
Ibiaí (MG),4034,3805
Morpará (BA),4241,4037
Araponga (MG),4189,3961
Japaratinga (AL),3874,3879
Barra de São Miguel (AL),3763,3808
Caraá (RS),3798,3513
Estrela d'Oeste (SP),4133,4074
Jangada (MT),3963,3732
Chapada da Natividade (TO),1792,1485
Santa Rosa do Sul (SC),4050,4004
Brejo Grande (SE),3936,3806
Pavão (MG),4342,4242
Vera Cruz do Oeste (PR),4411,4561
Santa Terezinha de Goiás (GO),5261,5041
Campo Florido (MG),3678,3191
Chapada de Areia (TO),716,619
Montezuma (MG),3775,3688
Jauru (MT),5257,5195
Itaquara (BA),3837,3836
Madeiro (PI),4044,3772
Brasileira (PI),4075,3890
Icém (SP),3795,3667
Irapuru (SP),4532,3257
Cristalândia do Piauí (PI),4087,3743
